Country Name,Country Code,Maternal Mortality Rate,Urban Population %,GDP Per Capita
Sudan,SDN,311,33.89,2513.88466117983
Senegal,SEN,315,45.86,910.774777246034
Singapore,SGP,10,100,54940.8581377449
Solomon Islands,SLB,114,22.36,1965.42203216771
Sierra Leone,SLE,1360,40.83,582.936203085803
El Salvador,SLV,54,69.7,3669.87899205352
San Marino,SMR,,96.74,47610.9850756554
Somalia,SOM,732,43.25,476.795737597013
Serbia,SRB,17,55.7,5237.25533423136
Sub-Saharan Africa (excluding high income),SSA,547,38.5,1599.47779012089
South Sudan,SSD,789,18.85,917.921473873704
Sub-Saharan Africa,SSF,547,38.5,1600.6968840215
Small states,SST,272,56.96,11605.696008222
Sao Tome and Principe,STP,156,70.17,1613.48020706019
Suriname,SUR,155,66.06,8724.72389713678
Slovak Republic,SVK,6,53.89,16132.8603100425
Slovenia,SVN,9,53.78,20873.1611094925
Sweden,SWE,4,86.55,50812.1908597713
Eswatini,SWZ,389,23.3,3047.94675558222
Sint Maarten (Dutch part),SXM,,100,
Seychelles,SYC,,55.4,14725.1017400575
Syrian Arab Republic,SYR,68,52.17,
Turks and Caicos Islands,TCA,,92.2,
Chad,TCD,856,22.52,784.172307238762
East Asia & Pacific (IDA & IBRD countries),TEA,63,52.58,6579.58454314775
Europe & Central Asia (IDA & IBRD countries),TEC,23,65.8,7951.31391711776
Togo,TGO,368,40.1,551.150673157549
Thailand,THA,20,47.69,5846.39460806913
Tajikistan,TJK,32,26.74,918.677154325296
Turkmenistan,TKM,42,50.32,6432.66876792426
Latin America & the Caribbean (IDA & IBRD countries),TLA,68,79.89,8583.71747756657
Timor-Leste,TLS,215,29.49,2501.59835400972
Middle East & North Africa (IDA & IBRD countries),TMN,91,60.3,3918.24563133813
Tonga,TON,124,23.28,4093.84958521364
South Asia (IDA & IBRD),TSA,182,32.71,1545.27731257625
Sub-Saharan Africa (IDA & IBRD countries),TSS,547,38.5,1600.6968840215
Trinidad and Tobago,TTO,63,53.32,17941.8005923033
Tunisia,TUN,62,68.06,3828.10063289426
Turkey,TUR,16,73.61,10984.8052020041
Tuvalu,TUV,,59.73,3232.07334039174
Tanzania,TZA,398,31.62,872.295494924971
Uganda,UGA,343,22.06,675.121141793718
Ukraine,UKR,24,69.06,2124.66266591114
Upper middle income,UMC,41,63.76,7965.02810365635
Uruguay,URY,15,95.05,15524.8424684038
United States,USA,14,81.67,56443.8172422582
Uzbekistan,UZB,36,50.75,2137.57685230278
St. Vincent and the Grenadines,VCT,45,50.96,6913.03884396936
Venezuela RB,VEN,95,88.15,
British Virgin Islands,VGB,,46.58,
Virgin Islands (U.S.),VIR,,95.35,34954.9716832235
Vietnam,VNM,54,33.81,2065.16909895862
Vanuatu,VUT,78,24.96,2788.77091878844
World,WLD,216,53.92,10172.2228166826
Samoa,WSM,51,18.91,4149.41142948863
Kosovo,XKX,,,3574.17402997973
Yemen Rep.,YEM,385,34.78,1285.56301929087
South Africa,ZAF,138,64.83,5746.68112702961
Zambia,ZMB,224,41.91,1313.88964550765
Zimbabwe,ZWE,443,32.39,1033.41584138021
